activity_id,activity_name_activity_description
0,Unknown,"The event activity is unknown."
1,Create,"A request to create a new file on a file system."
2,Read,"A request to read data from a file on a file system."
3,Update,"A request to write data to a file on a file system."
4,Delete,"A request to delete a file on a file system."
5,Rename,"A request to rename a file on a file system."
6,"Set Attributes","A request to set attributes for a file on a file system."
7,"Set Security","A request to set security for a file on a file system."
8,"Get Attributes","A request to get attributes for a file on a file system."
9,"Get Security","A request to get security for a file on a file system."
10,Encrypt,"A request to encrypt a file on a file system."
11,Decrypt,"A request to decrypt a file on a file system."
12,Mount,"A request to mount a file on a file system."
13,Unmount,"A request to unmount a file from a file system."
14,Open,"A request to create a file handle."
99,Other,"The event activity is not mapped."
